0st_vol,0capacity,0net_inf,0st_rof,0st_stor_rof,0st_trmt_rof,0lt_rof,0lt_stor_rof,0lt_trmt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0stor_vol,0obs_ann_dem,0proj_dem,0pv_debt_serv,0gross_rev,1st_vol,1capacity,1net_inf,1st_rof,1st_stor_rof,1st_trmt_rof,1lt_rof,1lt_stor_rof,1lt_trmt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1stor_vol,1obs_ann_dem,1proj_dem,1pv_debt_serv,1gross_rev,2st_vol,2capacity,2net_inf,2st_rof,2st_stor_rof,2st_trmt_rof,2lt_rof,2lt_stor_rof,2lt_trmt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,2stor_vol,2obs_ann_dem,2proj_dem,2pv_debt_serv,2gross_rev
3322.08,3322.08,3137.88,0,0,0,0,0,0,141,141,0,0,1108,0.606982,0,0,0,0,3322.08,0,0,0,1.64049,9560.58,9560.58,3888.07,0,0,0,0,0,0,163.47,163.47,0,0,137999,0.406997,0,0,0,0,9560.58,0,0,0,1.26005,28578.4,28578.4,8469.44,0,0,0,0,0,0,356.75,356.75,0,0,61999.4,1,0,0,0,0,28578.4,0,0,0,1.67621
3322.08,3322.08,1102.92,0,0,0,0,0,0,138,138,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.60559,9560.58,9560.58,840.787,0,0,0,0,0,0,176.77,176.77,0,153.66,137999,0.847107,0,0,0,0,9560.58,0,0,0,1.36257,28578.4,28578.4,1934.43,0,0,0,0,0,0,378.64,378.64,0,335.341,61999.4,1,0,0,0,0,28578.4,0,0,0,1.77906
3322.08,3322.08,475.754,0,0,0,0,0,0,135,135,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.57068,9560.58,9560.58,148.129,0,0,0,0,0,0,210.38,210.38,0,166.162,137999,1,0,0,0,0,9560.58,0,0,0,1.62164,28578.4,28578.4,359.043,0,0,0,0,0,0,422.98,422.98,0,355.918,61999.4,1,0,0,0,0,28578.4,0,0,0,1.98739
3322.08,3322.08,572.476,0,0,0,0,0,0,162,162,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.88482,9560.58,9560.58,262.68,0,0,0,0,0,0,187.49,187.49,0,197.755,137999,1,0,0,0,0,9560.58,0,0,0,1.4452,28578.4,28578.4,570.569,0,0,0,0,0,0,369.32,369.32,0,397.597,61999.4,1,0,0,0,0,28578.4,0,0,0,1.73527
3322.08,3322.08,1233.86,0,0,0,0,0,0,142,142,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.65213,9560.58,9560.58,1286.38,0,0,0,0,0,0,178.13,178.13,0,177.322,137999,1,0,0,0,0,9560.58,0,0,0,1.37305,28578.4,28578.4,2614.79,0,0,0,0,0,0,406.32,406.32,0,349.292,61999.4,1,0,0,0,0,28578.4,0,0,0,1.90912
3322.08,3322.08,1493.26,0,0,0,0,0,0,133,133,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.56816,9560.58,9560.58,1603.94,0,0,0,0,0,0,176.86,176.86,0,169.224,137999,1,0,0,0,0,9560.58,0,0,0,1.38075,28578.4,28578.4,3213.48,0,0,0,0,0,0,353.42,353.42,0,386.004,61999.4,1,0,0,0,0,28578.4,0,0,0,1.74123
3322.08,3322.08,1704.44,0,0,0,0,0,0,133,133,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.56816,9560.58,9560.58,3017.64,0,0,0,0,0,0,171.45,171.45,0,168.017,137999,1,0,0,0,0,9560.58,0,0,0,1.33852,28578.4,28578.4,4288.84,0,0,0,0,0,0,405.56,405.56,0,335.749,61999.4,1,0,0,0,0,28578.4,0,0,0,1.99812
3322.08,3322.08,1234.23,0,0,0,0,0,0,162,162,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.91009,9560.58,9560.58,1279.61,0,0,0,0,0,0,189.92,189.92,0,162.877,137999,1,0,0,0,0,9560.58,0,0,0,1.48271,28578.4,28578.4,2666.31,0,0,0,0,0,0,373.72,373.72,0,385.282,61999.4,1,0,0,0,0,28578.4,0,0,0,1.84125
3322.08,3322.08,1217.58,0,0,0,0,0,0,142,142,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.67428,9560.58,9560.58,1282.25,0,0,0,0,0,0,175.17,175.17,0,184.735,137999,1,0,0,0,0,9560.58,0,0,0,1.36756,28578.4,28578.4,2013.22,0,0,0,0,0,0,445.67,445.67,0,363.517,61999.4,1,0,0,0,0,28578.4,0,0,0,2.19573
3322.08,3322.08,2114.14,0,0,0,0,0,0,131,131,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.46879,9560.58,9560.58,1544.48,0,0,0,0,0,0,171.37,171.37,0,173.406,137999,1,0,0,0,0,9560.58,0,0,0,1.28562,28578.4,28578.4,2374.02,0,0,0,0,0,0,376.66,376.66,0,441.182,61999.4,1,0,0,0,0,28578.4,0,0,0,1.81613
